score,savings,income,fte,single,time.address,time.employed
39.39980639,0.012,111.168,TRUE,FALSE,27,8
51.79090029,0.654,56.4,TRUE,FALSE,29,33
32.81703775,0.748,36.744,TRUE,TRUE,2,16
57.30880929,0.616,55.992,TRUE,TRUE,14,7
37.1732817,4.132,62.04,TRUE,TRUE,2,14
33.68828654,0,43.752,TRUE,TRUE,7,7
25.55663117,0.936,79.008,TRUE,TRUE,4,11
32.04259439,0.004,45.408,TRUE,FALSE,3,3
41.33591481,4.258,55.224,TRUE,TRUE,16,18
26.71829622,0.006,55.032,TRUE,FALSE,10,32
31.55856728,0.702,90.936,TRUE,FALSE,2,13
51.69409487,5.156,129.6,TRUE,TRUE,22,21
42.40077444,1.214,113.736,TRUE,TRUE,5,4
45.8857696,0,41.952,TRUE,TRUE,5,6
45.69215876,2.77,57.624,TRUE,TRUE,12,11
60.30977735,17.808,60,TRUE,TRUE,24,22
32.62342691,1.14,47.232,TRUE,TRUE,33,56
51.11326234,5.474,61.584,TRUE,TRUE,103,3
49.37076476,3.84,214.008,TRUE,TRUE,13,12
23.03969022,0,71.784,TRUE,FALSE,5,53
48.01548887,1.302,44.184,FALSE,TRUE,7,7
31.75217812,0,58.536,TRUE,TRUE,4,13
37.07647628,6.484,79.68,TRUE,FALSE,1,16
23.71732817,0.006,48.552,TRUE,TRUE,7,4
34.26911907,0,63.24,TRUE,TRUE,4,2
51.59728945,6.126,51.672,TRUE,TRUE,12,29
15.19845111,0.256,66.264,TRUE,FALSE,18,0
35.91481123,3.198,48.288,TRUE,TRUE,6,16
53.63020329,2.454,51.264,TRUE,TRUE,18,1
32.23620523,0.936,43.272,TRUE,TRUE,13,12
29.71926428,0.438,71.688,TRUE,TRUE,15,4
39.49661181,0.672,45.744,TRUE,TRUE,6,43
43.85285576,4.202,50.736,TRUE,FALSE,5,42
25.07260407,0.06,67.44,TRUE,FALSE,18,85
29.71926428,0.46,53.568,TRUE,TRUE,8,6
29.52565344,1.126,67.848,TRUE,FALSE,6,10
41.62633107,34.854,36.624,FALSE,TRUE,23,22
22.36205227,0.072,104.4,TRUE,TRUE,19,4
19.36108422,0.094,37.752,TRUE,TRUE,15,35
56.63117135,1.052,124.032,TRUE,FALSE,21,96
37.07647628,0.812,106.944,TRUE,FALSE,10,3
27.68635044,0.166,77.4,TRUE,FALSE,0,38
38.43175218,2.504,82.32,TRUE,TRUE,17,33
26.1374637,0.29,81.6,TRUE,TRUE,0,35
14.81122943,0.006,66,TRUE,TRUE,4,16
33.68828654,0,60,TRUE,TRUE,6,24
26.1374637,0.022,83.184,TRUE,FALSE,25,5
44.91771539,1.252,42.336,TRUE,TRUE,6,44
60.89060987,5.556,140.16,TRUE,FALSE,18,0
35.14036786,1.456,58.224,FALSE,FALSE,2,21
30.00968054,2.39,89.256,TRUE,FALSE,1,3
53.82381413,0.64,86.064,TRUE,FALSE,25,58
32.62342691,0.91,48.48,TRUE,TRUE,10,1
29.23523717,0.288,41.568,TRUE,TRUE,2,62
41.81994192,2.114,48.12,TRUE,TRUE,7,9
