Date,Elec_Prod
Jan-56,1254
Feb-56,1290
Mar-56,1379
Apr-56,1346
May-56,1535
Jun-56,1555
Jul-56,1655
Aug-56,1651
Sep-56,1500
Oct-56,1538
Nov-56,1486
Dec-56,1394
Jan-57,1409
Feb-57,1387
Mar-57,1543
Apr-57,1502
May-57,1693
Jun-57,1616
Jul-57,1841
Aug-57,1787
Sep-57,1631
Oct-57,1649
Nov-57,1586
Dec-57,1500
Jan-58,1497
Feb-58,1463
Mar-58,1648
Apr-58,1595
May-58,1777
Jun-58,1824
Jul-58,1994
Aug-58,1835
Sep-58,1787
Oct-58,1699
Nov-58,1633
Dec-58,1645
Jan-59,1597
Feb-59,1577
Mar-59,1709
Apr-59,1756
May-59,1936
Jun-59,2052
Jul-59,2105
Aug-59,2016
Sep-59,1914
Oct-59,1925
Nov-59,1824
Dec-59,1765
Jan-60,1721
Feb-60,1752
Mar-60,1914
Apr-60,1857
May-60,2159
Jun-60,2195
Jul-60,2287
Aug-60,2276
Sep-60,2096
Oct-60,2055
Nov-60,2004
Dec-60,1924
Jan-61,1851
Feb-61,1839
Mar-61,2019
Apr-61,1937
May-61,2270
Jun-61,2251
Jul-61,2382
Aug-61,2364
Sep-61,2129
Oct-61,2110
Nov-61,2072
Dec-61,1980
Jan-62,1995
Feb-62,1932
Mar-62,2171
Apr-62,2162
May-62,2489
Jun-62,2424
Jul-62,2641
Aug-62,2630
Sep-62,2324
Oct-62,2412
Nov-62,2284
Dec-62,2186
Jan-63,2184
Feb-63,2144
Mar-63,2379
Apr-63,2383
May-63,2717
Jun-63,2774
Jul-63,3051
Aug-63,2891
Sep-63,2613
Oct-63,2600
Nov-63,2493
Dec-63,2410
Jan-64,2390
Feb-64,2463
Mar-64,2616
Apr-64,2734
May-64,2970
Jun-64,3125
Jul-64,3342
Aug-64,3207
Sep-64,2964
Oct-64,2919
Nov-64,2764
Dec-64,2732
Jan-65,2622
Feb-65,2698
Mar-65,2950
Apr-65,2895
May-65,3200
Jun-65,3408
Jul-65,3679
Aug-65,3473
Sep-65,3154
Oct-65,3107
Nov-65,3052
Dec-65,2918
Jan-66,2786
Feb-66,2739
Mar-66,3125
Apr-66,3033
May-66,3486
Jun-66,3661
Jul-66,3927
Aug-66,3851
Sep-66,3456
Oct-66,3390
Nov-66,3280
Dec-66,3166
Jan-67,3080
Feb-67,3069
Mar-67,3340
Apr-67,3310
May-67,3798
Jun-67,3883
Jul-67,4191
Aug-67,4213
Sep-67,3766
Oct-67,3628
Nov-67,3520
Dec-67,3322
Jan-68,3250
Feb-68,3287
Mar-68,3552
Apr-68,3440
May-68,4153
Jun-68,4265
Jul-68,4655
Aug-68,4492
Sep-68,4051
Oct-68,3967
Nov-68,3807
Dec-68,3639
Jan-69,3647
Feb-69,3560
Mar-69,3929
Apr-69,3858
May-69,4485
Jun-69,4697
Jul-69,4977
Aug-69,4675
Sep-69,4596
Oct-69,4491
Nov-69,4127
Dec-69,4144
Jan-70,4014
Feb-70,3994
Mar-70,4320
Apr-70,4400
May-70,5002
Jun-70,5091
Jul-70,5471
Aug-70,5193
Sep-70,4997
Oct-70,4737
Nov-70,4546
Dec-70,4498
Jan-71,4350
Feb-71,4206
Mar-71,4743
Apr-71,4582
May-71,5191
Jun-71,5457
Jul-71,5891
Aug-71,5618
Sep-71,5158
Oct-71,5030
Nov-71,4800
Dec-71,4654
Jan-72,4453
Feb-72,4440
Mar-72,4945
Apr-72,4788
