Date,NOI
Jan-96,79.43
Feb-96,75.86
Mar-96,86.4
Apr-96,72.67
May-96,74.93
Jun-96,83.88
Jul-96,79.88
Aug-96,62.47
Sep-96,85.5
Oct-96,83.19
Nov-96,84.29
Dec-96,89.79
Jan-97,78.72
Feb-97,77.49
Mar-97,89.94
Apr-97,81.35
May-97,78.76
Jun-97,89.59
Jul-97,83.75
Aug-97,69.87
Sep-97,91.18
Oct-97,89.52
Nov-97,91.12
Dec-97,92.97
Jan-98,81.97
Feb-98,85.26
Mar-98,93.09
Apr-98,81.19
May-98,85.74
Jun-98,91.24
Jul-98,83.56
Aug-98,66.45
Sep-98,93.45
Oct-98,86.03
Nov-98,86.91
Dec-98,93.42
Jan-99,81.68
Feb-99,81.68
Mar-99,91.35
Apr-99,79.55
May-99,87.08
Jun-99,96.71
Jul-99,98.1
Aug-99,79.22
Sep-99,103.68
Oct-99,101
Nov-99,99.52
Dec-99,111.94
Jan-00,95.42
Feb-00,98.49
Mar-00,116.37
Apr-00,101.09
May-00,104.2
Jun-00,114.79
Jul-00,107.75
Aug-00,96.23
Sep-00,123.65
Oct-00,116.24
Nov-00,117
Dec-00,128.75
Jan-01,100.69
Feb-01,102.99
Mar-01,119.21
Apr-01,92.56
May-01,98.86
Jun-01,111.26
Jul-01,96.25
Aug-01,79.81
Sep-01,102.18
Oct-01,96.28
Nov-01,101.38
Dec-01,109.97
Jan-02,89.66
Feb-02,89.23
Mar-02,104.36
Apr-02,87.17
May-02,89.43
Jun-02,102.25
Jul-02,88.26
Aug-02,75.73
Sep-02,99.6
Oct-02,96.57
Nov-02,96.22
Dec-02,101.12
Jan-03,89.45
Feb-03,86.87
Mar-03,98.94
Apr-03,85.62
May-03,85.31
Jun-03,101.22
Jul-03,91.93
Aug-03,77.01
Sep-03,104.5
Oct-03,99.83
Nov-03,101.1
Dec-03,109.16
Jan-04,89.93
Feb-04,92.73
Mar-04,105.22
Apr-04,91.56
May-04,92.6
Jun-04,104.46
Jul-04,96.28
Aug-04,79.61
Sep-04,105.55
Oct-04,99.15
Nov-04,99.81
Dec-04,113.72
Jan-05,91.73
Feb-05,90.45
Mar-05,105.56
Apr-05,92.15
May-05,91.23
Jun-05,108.95
Jul-05,99.33
Aug-05,83.3
Sep-05,110.85
Oct-05,104.99
Nov-05,107.1
Dec-05,114.38
Jan-06,99.09
Feb-06,99.73
Mar-06,116.05
Apr-06,103.51
May-06,102.99
Jun-06,119.45
Jul-06,107.98
Aug-06,90.5
Sep-06,121.85
Oct-06,117.12
Nov-06,113.66
Dec-06,120.35
Jan-07,103.92
Feb-07,103.97
Mar-07,125.63
Apr-07,104.69
May-07,108.36
Jun-07,123.09
Jul-07,108.88
Aug-07,93.98
Sep-07,121.94
Oct-07,116.79
Nov-07,115.78
Dec-07,127.28
Jan-08,109.35
Feb-08,105.64
Mar-08,121.3
Apr-08,108.62
May-08,103.13
Jun-08,117.84
Jul-08,103.62
Aug-08,89.22
Sep-08,109.41
Oct-08,103.93
Nov-08,100.07
Dec-08,101.15
Jan-09,77.33
Feb-09,75.01
Mar-09,86.31
Apr-09,74.09
May-09,74.09
Jun-09,85.58
Jul-09,79.84
Aug-09,65.24
Sep-09,87.92
Oct-09,84.45
Nov-09,87.93
Dec-09,102.42
Jan-10,79.16
Feb-10,78.4
Mar-10,94.32
Apr-10,84.45
May-10,84.92
Jun-10,103.18
Jul-10,89.42
Aug-10,77.66
Sep-10,95.68
Oct-10,94.03
Nov-10,100.99
Dec-10,101.26
Jan-11,91.47
Feb-11,87.66
Mar-11,103.33
Apr-11,88.56
May-11,92.32
Jun-11,102.21
Jul-11,92.8
Aug-11,76.44
Sep-11,94
Oct-11,91.67
Nov-11,91.98
