Date,Retail_Index
Jan-96,89.13
Apr-96,89.52
Jul-96,89.88
Oct-96,90.12
Jan-97,89.19
Apr-97,89.78
Jul-97,90.03
Oct-97,90.38
Jan-98,90.27
Apr-98,90.77
Jul-98,91.85
Oct-98,92.51
Jan-99,92.21
Apr-99,92.52
Jul-99,93.62
Oct-99,94.15
Jan-00,94.69
Apr-00,95.34
Jul-00,96.04
Oct-00,96.3
Jan-01,94.83
Apr-01,95.14
Jul-01,95.86
Oct-01,95.83
Jan-02,95.73
Apr-02,96.36
Jul-02,96.89
Oct-02,97.01
Jan-03,96.66
Apr-03,97.76
Jul-03,97.83
Oct-03,97.76
Jan-04,98.17
Apr-04,98.55
Jul-04,99.31
Oct-04,99.44
Jan-05,99.43
Apr-05,99.84
Jul-05,100.32
Oct-05,100.4
Jan-06,99.88
Apr-06,100.19
Jul-06,100.75
Oct-06,101.01
Jan-07,100.84
Apr-07,101.34
Jul-07,101.94
Oct-07,102.1
Jan-08,101.56
Apr-08,101.48
Jul-08,101.13
Oct-08,100.34
Jan-09,98.93
Apr-09,98.31
Jul-09,97.67
Oct-09,97.44
Jan-10,96.53
Apr-10,96.56
Jul-10,96.51
Oct-10,96.7
Jan-11,95.88
Apr-11,95.84
Jul-11,95.79
Oct-11,95.97
