Date,H02
Jul-91,0.429795
Aug-91,0.400906
Sep-91,0.432159
Oct-91,0.492543
Nov-91,0.502369
Dec-91,0.602652
Jan-92,0.660119
Feb-92,0.33622
Mar-92,0.351348
Apr-92,0.379808
May-92,0.361801
Jun-92,0.410534
Jul-92,0.48338867
Aug-92,0.47546342
Sep-92,0.53476104
Oct-92,0.56860613
Nov-92,0.59522329
Dec-92,0.77125778
Jan-93,0.7515028
Feb-93,0.38755434
Mar-93,0.42728322
Apr-93,0.41389018
May-93,0.42885882
Jun-93,0.47012642
Jul-93,0.50920969
Aug-93,0.558443
Sep-93,0.60151406
Oct-93,0.6329471
Nov-93,0.69960539
Dec-93,0.96308051
Jan-94,0.81932534
Feb-94,0.4376698
Mar-94,0.50612127
Apr-94,0.47049117
May-94,0.51069626
Jun-94,0.54051379
Jul-94,0.55811892
Aug-94,0.67285206
Sep-94,0.68589738
Oct-94,0.68969198
Nov-94,0.74130358
Dec-94,0.81330763
Jan-95,0.80311257
Feb-95,0.47525824
Mar-95,0.5525723
Apr-95,0.52710782
May-95,0.56124982
Jun-95,0.58897764
Jul-95,0.62313362
Aug-95,0.74083723
Sep-95,0.72537176
Oct-95,0.81580302
Nov-95,0.81400947
Dec-95,0.92665305
Jan-96,0.93727594
Feb-96,0.52876165
Mar-96,0.55933994
Apr-96,0.57787166
May-96,0.61492741
Jun-96,0.59418877
Jul-96,0.70775844
Aug-96,0.71950195
Sep-96,0.74432369
Oct-96,0.80485511
Nov-96,0.78854235
Dec-96,0.9710894
Jan-97,0.84683354
Feb-97,0.46382252
Mar-97,0.48527317
Apr-97,0.5280586
May-97,0.56233647
Jun-97,0.5885704
Jul-97,0.66948036
Aug-97,0.67799365
Sep-97,0.76299549
Oct-97,0.79972374
Nov-97,0.77052192
Dec-97,0.99438934
Jan-98,0.80054443
Feb-98,0.49055721
Mar-98,0.52440799
Apr-98,0.53664948
May-98,0.55209054
Jun-98,0.60336564
Jul-98,0.68124538
Aug-98,0.67807535
Sep-98,0.79489265
Oct-98,0.7846239
Nov-98,0.8130087
Dec-98,0.9777323
Jan-99,0.89308148
Feb-99,0.51269597
Mar-99,0.65299589
Apr-99,0.5739764
May-99,0.63923842
Jun-99,0.70387188
Jul-99,0.77064824
Aug-99,0.84618588
Sep-99,0.89272889
Oct-99,0.89789988
Nov-99,0.94728069
Dec-99,1.05070727
Jan-00,0.96965567
Feb-00,0.57329151
Mar-00,0.61850684
Apr-00,0.61899573
May-00,0.66520922
Jun-00,0.72652015
Jul-00,0.85586494
Aug-00,0.86598429
Sep-00,0.82524883
Oct-00,0.95542102
Nov-00,0.93859596
Dec-00,1.01302442
Jan-01,1.04380535
Feb-01,0.51064725
Mar-01,0.67256901
Apr-01,0.64847006
May-01,0.70411469
Jun-01,0.69943075
Jul-01,0.85192587
Aug-01,0.9077052
Sep-01,0.86744447
Oct-01,1.02429281
Nov-01,1.10959022
Dec-01,1.01231323
Jan-02,1.14586761
Feb-02,0.57558438
Mar-02,0.64116459
Apr-02,0.67986207
May-02,0.7679384
Jun-02,0.75209591
Jul-02,0.91806359
Aug-02,0.92436753
Sep-02,1.01319767
Oct-02,1.02697609
Nov-02,1.00679597
Dec-02,1.10277568
Jan-03,1.07814487
Feb-03,0.57829619
Mar-03,0.64333332
Apr-03,0.66336735
May-03,0.750516
Jun-03,0.80074564
Jul-03,0.91636103
Aug-03,0.91688682
Sep-03,1.08465893
Oct-03,1.15064822
Nov-03,1.05083821
Dec-03,1.22323454
Jan-04,1.13012521
Feb-04,0.66798867
Mar-04,0.74901428
Apr-04,0.73998602
May-04,0.79512863
Jun-04,0.85680282
Jul-04,1.00159317
Aug-04,0.99486433
Sep-04,1.134432
Oct-04,1.181011
Nov-04,1.216037
Dec-04,1.257238
Jan-05,1.17069
Feb-05,0.597639
Mar-05,0.65259
Apr-05,0.670505
May-05,0.695248
Jun-05,0.842263
Jul-05,0.874336
Aug-05,1.006497
Sep-05,1.094736
Oct-05,1.027043
Nov-05,1.149232
Dec-05,1.160712
Jan-06,1.230691
Feb-06,0.587135
Mar-06,0.706959
Apr-06,0.639641
May-06,0.807405
Jun-06,0.79797
Jul-06,0.884312
Aug-06,1.049648
Sep-06,0.995709
Oct-06,1.168253
Nov-06,1.108038
Dec-06,1.120053
Jan-07,1.223319
Feb-07,0.597753
Mar-07,0.704398
Apr-07,0.56176
May-07,0.745258
Jun-07,0.837934
Jul-07,0.954144
Aug-07,1.07821949
Sep-07,1.11098161
Oct-07,1.10997914
Nov-07,1.1635343
Dec-07,1.176589
Jan-08,1.219941
Feb-08,0.761822
Mar-08,0.649435
Apr-08,0.827887
May-08,0.816255
Jun-08,0.762137
