Date,Housing Sales
Jan-73,55
Feb-73,60
Mar-73,68
Apr-73,63
May-73,65
Jun-73,61
Jul-73,54
Aug-73,52
Sep-73,46
Oct-73,42
Nov-73,37
Dec-73,30
Jan-74,37
Feb-74,44
Mar-74,55
Apr-74,53
May-74,58
Jun-74,50
Jul-74,48
Aug-74,45
Sep-74,41
Oct-74,34
Nov-74,30
Dec-74,24
Jan-75,29
Feb-75,34
Mar-75,44
Apr-75,54
May-75,57
Jun-75,51
Jul-75,51
Aug-75,53
Sep-75,46
Oct-75,46
Nov-75,46
Dec-75,39
Jan-76,41
Feb-76,53
Mar-76,55
Apr-76,62
May-76,55
Jun-76,56
Jul-76,57
Aug-76,59
Sep-76,58
Oct-76,55
Nov-76,49
Dec-76,47
Jan-77,57
Feb-77,68
Mar-77,84
Apr-77,81
May-77,78
Jun-77,74
Jul-77,64
Aug-77,74
Sep-77,71
Oct-77,63
Nov-77,55
Dec-77,51
Jan-78,57
Feb-78,63
Mar-78,75
Apr-78,85
May-78,80
Jun-78,77
Jul-78,68
Aug-78,72
Sep-78,68
Oct-78,70
Nov-78,53
Dec-78,50
Jan-79,53
Feb-79,58
Mar-79,73
Apr-79,72
May-79,68
Jun-79,63
Jul-79,64
Aug-79,68
Sep-79,60
Oct-79,54
Nov-79,41
Dec-79,35
Jan-80,43
Feb-80,44
Mar-80,44
Apr-80,36
May-80,44
Jun-80,50
Jul-80,55
Aug-80,61
Sep-80,50
Oct-80,46
Nov-80,39
Dec-80,33
Jan-81,37
Feb-81,40
Mar-81,49
Apr-81,44
May-81,45
Jun-81,38
Jul-81,36
Aug-81,34
Sep-81,28
Oct-81,29
Nov-81,27
Dec-81,29
Jan-82,28
Feb-82,29
Mar-82,36
Apr-82,32
May-82,36
Jun-82,34
Jul-82,31
Aug-82,36
Sep-82,39
Oct-82,40
Nov-82,39
Dec-82,33
Jan-83,44
Feb-83,46
Mar-83,57
Apr-83,59
May-83,64
Jun-83,59
Jul-83,51
Aug-83,50
Sep-83,48
Oct-83,51
Nov-83,45
Dec-83,48
Jan-84,52
Feb-84,58
Mar-84,63
Apr-84,61
May-84,59
Jun-84,58
Jul-84,52
Aug-84,48
Sep-84,53
Oct-84,55
Nov-84,42
Dec-84,38
Jan-85,48
Feb-85,55
Mar-85,67
Apr-85,60
May-85,65
Jun-85,65
Jul-85,63
Aug-85,61
Sep-85,54
Oct-85,52
Nov-85,51
Dec-85,47
Jan-86,55
Feb-86,59
Mar-86,89
Apr-86,84
May-86,75
Jun-86,66
Jul-86,57
Aug-86,52
Sep-86,60
Oct-86,54
Nov-86,48
Dec-86,49
Jan-87,53
Feb-87,59
Mar-87,73
Apr-87,72
May-87,62
Jun-87,58
Jul-87,55
Aug-87,56
Sep-87,52
Oct-87,52
Nov-87,43
Dec-87,37
Jan-88,43
Feb-88,55
Mar-88,68
Apr-88,68
May-88,64
Jun-88,65
Jul-88,57
Aug-88,59
Sep-88,54
Oct-88,57
Nov-88,43
Dec-88,42
Jan-89,52
Feb-89,51
Mar-89,58
Apr-89,60
May-89,61
Jun-89,58
Jul-89,62
Aug-89,61
Sep-89,49
Oct-89,51
Nov-89,47
Dec-89,40
Jan-90,45
Feb-90,50
Mar-90,58
Apr-90,52
May-90,50
Jun-90,50
Jul-90,46
Aug-90,46
Sep-90,38
Oct-90,37
Nov-90,34
Dec-90,29
Jan-91,30
Feb-91,40
Mar-91,46
Apr-91,46
May-91,47
Jun-91,47
Jul-91,43
Aug-91,46
Sep-91,37
Oct-91,41
Nov-91,39
Dec-91,36
Jan-92,48
Feb-92,55
Mar-92,56
Apr-92,53
May-92,52
Jun-92,53
Jul-92,52
Aug-92,56
Sep-92,51
Oct-92,48
Nov-92,42
Dec-92,42
Jan-93,44
Feb-93,50
Mar-93,60
Apr-93,66
May-93,58
Jun-93,59
Jul-93,55
Aug-93,57
Sep-93,57
Oct-93,56
Nov-93,53
Dec-93,51
Jan-94,45
Feb-94,58
Mar-94,74
Apr-94,65
May-94,65
Jun-94,55
Jul-94,52
Aug-94,59
Sep-94,54
Oct-94,57
Nov-94,45
Dec-94,40
Jan-95,47
Feb-95,47
Mar-95,60
Apr-95,58
May-95,63
Jun-95,64
Jul-95,64
Aug-95,63
Sep-95,55
Oct-95,54
Nov-95,44
